[('Mediterranean Avenue', 0), ('Baltic Avenue', 0), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 0), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 0), ('Baltic Avenue', 0), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 0), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 0), ('Baltic Avenue', 0), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 0), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 0), ('Baltic Avenue', 0), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 0), ('Baltic Avenue', 0), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 1), ('Baltic Avenue', 0), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 1), ('Baltic Avenue', 2), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 1), ('Baltic Avenue', 2), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 1), ('Baltic Avenue', 2), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 1), ('Baltic Avenue', 2), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 1), ('Baltic Avenue', 2), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 1), ('Baltic Avenue', 2), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 1), ('Baltic Avenue', 2), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 1), ('Baltic Avenue', 2), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 1), ('Baltic Avenue', 2), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 1), ('Baltic Avenue', 2), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 1), ('Baltic Avenue', 2), ('Oriental Avenue', 0), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 1), ('Baltic Avenue', 2), ('Oriental Avenue', 1), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 1), ('Baltic Avenue', 2), ('Oriental Avenue', 1), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 0), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 1), ('Baltic Avenue', 2), ('Oriental Avenue', 1), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 1), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
[('Mediterranean Avenue', 1), ('Baltic Avenue', 2), ('Oriental Avenue', 1), ('Vermont Avenue', 2), ('Connecticut Avenue', 0), ('St. Charles Place', 0), ('States Avenue', 0), ('Virginia Avenue', 1), ('St. James Place', 0), ('Tennessee Avenue', 1), ('New York Avenue', 0), ('Kentucky Avenue', 0)]
